protA	protB	WD
MRPL13	ATP5F1B	0.0
MRPL15	ATP5F1B	0.0
MRPL17	ATP5F1B	0.0
MRPL18	ATP5F1B	0.0
MRPL19	ATP5F1B	0.0
MRPL2	ATP5F1B	0.0
MRPL20	ATP5F1B	0.0
MRPL21	ATP5F1B	0.0
MRPL22	ATP5F1B	0.0
MRPL23	ATP5F1B	0.0
MRPL24	ATP5F1B	0.0
MRPL28	ATP5F1B	0.0
MRPL3	ATP5F1B	0.0
MRPL34	ATP5F1B	0.0
MRPL37	ATP5F1B	0.0
MRPL38	ATP5F1B	0.0
MRPL39	ATP5F1B	0.0
MRPL4	ATP5F1B	0.0
MRPL40	ATP5F1B	0.0
MRPL41	ATP5F1B	0.0
MRPL43	ATP5F1B	0.0
MRPL44	ATP5F1B	0.0
MRPL45	ATP5F1B	0.0
MRPL46	ATP5F1B	0.0
MRPL47	ATP5F1B	0.0
MRPL48	ATP5F1B	0.0
MRPL49	ATP5F1B	0.0
MRPL50	ATP5F1B	0.0
MRPL55	ATP5F1B	0.0
MRPL58	ATP5F1B	0.0
MRPL9	ATP5F1B	0.0
MRPS10	ATP5F1B	0.0
MRPS14	ATP5F1B	0.0
MRPS16	ATP5F1B	0.0
MRPS17	ATP5F1B	0.0
MRPS2	ATP5F1B	0.0
MRPS22	ATP5F1B	0.0
MRPS23	ATP5F1B	0.0
MRPS27	ATP5F1B	0.0
MRPS30	ATP5F1B	0.0
MRPS31	ATP5F1B	0.0
MRPS34	ATP5F1B	0.0
MRPS35	ATP5F1B	0.0
MRPS7	ATP5F1B	0.0
MTA2	ATP5F1B	77.58310425746582
MTHFD1	ATP5F1B	0.0
MYBBP1A	ATP5F1B	0.0
MYH10	ATP5F1B	62.78097912819092
MYH9	ATP5F1B	0.0
MYL6	ATP5F1B	0.0
NANS	ATP5F1B	0.0
NAP1L1	ATP5F1B	0.0
NASP	ATP5F1B	0.0
NCKAP1	ATP5F1B	0.0
NCL	ATP5F1B	0.0
NME1	ATP5F1B	0.0
NPEPPS	ATP5F1B	0.0
NPM1	ATP5F1B	0.0
NSF	ATP5F1B	59.046446257395736
NSUN2	ATP5F1B	0.0
NUDT21	ATP5F1B	0.0
NUFIP2	ATP5F1B	73.03201489695121
NUMA1	ATP5F1B	0.0
NUP107	ATP5F1B	0.0
NUP133	ATP5F1B	0.0
NUP155	ATP5F1B	0.0
NUP210	ATP5F1B	0.0
NUP85	ATP5F1B	0.0
NUP93	ATP5F1B	0.0
NUP98	ATP5F1B	0.0
OAT	ATP5F1B	0.0
OGDH	ATP5F1B	0.0
P4HA1	ATP5F1B	0.0
P4HB	ATP5F1B	0.0
PABPC1	ATP5F1B	0.0
PABPC4	ATP5F1B	0.0
PABPN1	ATP5F1B	0.0
PAICS	ATP5F1B	0.0
PARP1	ATP5F1B	0.0
PC	ATP5F1B	0.0
PCBD1	ATP5F1B	0.0
PCBP1	ATP5F1B	0.0
PCMT1	ATP5F1B	0.0
PDHA1	ATP5F1B	0.0
PDHB	ATP5F1B	0.0
PDHX	ATP5F1B	0.0
PDIA3	ATP5F1B	0.0
PDIA6	ATP5F1B	0.0
PDRG1	ATP5F1B	0.0
PDXK	ATP5F1B	0.0
PFDN2	ATP5F1B	0.0
PFDN4	ATP5F1B	0.0
PFDN5	ATP5F1B	0.0
PFDN6	ATP5F1B	0.0
PFKP	ATP5F1B	0.0
PGAM5	ATP5F1B	0.0
PGD	ATP5F1B	0.0
PGK1	ATP5F1B	0.0
PHB	ATP5F1B	0.0
PHB2	ATP5F1B	0.0
PHGDH	ATP5F1B	0.0
PIH1D1	ATP5F1B	0.0
PIP	ATP5F1B	0.0
PKM	ATP5F1B	0.0
PKP1	ATP5F1B	0.0
PLS3	ATP5F1B	0.0
PMPCB	ATP5F1B	0.0
PNN	ATP5F1B	0.0
PNP	ATP5F1B	0.0
PODXL	ATP5F1B	0.0
POF1B	ATP5F1B	0.0
POLR1A	ATP5F1B	0.0
POLR1C	ATP5F1B	0.0
POLR2A	ATP5F1B	0.0
POLR2B	ATP5F1B	0.0
POLR2C	ATP5F1B	0.0
POLR2E	ATP5F1B	0.0
POLR2H	ATP5F1B	0.0
POLR3A	ATP5F1B	0.0
POLR3B	ATP5F1B	0.0
POLR3D	ATP5F1B	0.0
PPAT	ATP5F1B	0.0
PPIA	ATP5F1B	0.0
PPIB	ATP5F1B	0.0
PPP1CA	ATP5F1B	0.0
PPP1CC	ATP5F1B	0.0
PPP1R2	ATP5F1B	0.0
PPP1R7	ATP5F1B	0.0
PPP2R1A	ATP5F1B	0.0
PPP2R2A	ATP5F1B	0.0
PRDX1	ATP5F1B	0.0
PRDX2	ATP5F1B	0.0
PRDX3	ATP5F1B	0.0
PRDX4	ATP5F1B	0.0
PRDX6	ATP5F1B	0.0
PRKCSH	ATP5F1B	0.0
PRKDC	ATP5F1B	0.0
PRMT1	ATP5F1B	0.0
PRMT5	ATP5F1B	0.0
PRPF19	ATP5F1B	0.0
PRPF40A	ATP5F1B	0.0
PRPF8	ATP5F1B	0.0
PRSS3P2	ATP5F1B	0.0
PSAT1	ATP5F1B	0.0
PSMA6	ATP5F1B	0.0
PSMA7	ATP5F1B	0.0
PSMB1	ATP5F1B	0.0
PSMB2	ATP5F1B	76.96279568914822
PSMB3	ATP5F1B	0.0
PSMB4	ATP5F1B	0.0
PSMB5	ATP5F1B	0.0
PSMB7	ATP5F1B	0.0
PSMC1	ATP5F1B	0.0
PSMC2	ATP5F1B	0.0
PSMC3	ATP5F1B	0.0
PSMC4	ATP5F1B	0.0
PSMC5	ATP5F1B	0.0
PSMC6	ATP5F1B	0.0
PSMD1	ATP5F1B	0.0
PSMD12	ATP5F1B	0.0
PSMD13	ATP5F1B	0.0
PSMD14	ATP5F1B	0.0
PSMD2	ATP5F1B	0.0
PSMD3	ATP5F1B	0.0
PSMD4	ATP5F1B	0.0
PSMD6	ATP5F1B	0.0
PSMD7	ATP5F1B	0.0
PSMD8	ATP5F1B	0.0
PSME1	ATP5F1B	71.9248817068551
PTBP1	ATP5F1B	0.0
PTCD3	ATP5F1B	0.0
PUF60	ATP5F1B	0.0
QARS	ATP5F1B	0.0
RACK1	ATP5F1B	0.0
RAD50	ATP5F1B	0.0
RALY	ATP5F1B	0.0
RAN	ATP5F1B	0.0
RANBP1	ATP5F1B	0.0
RANBP2	ATP5F1B	0.0
RANBP9	ATP5F1B	0.0
RANGAP1	ATP5F1B	0.0
RARS	ATP5F1B	0.0
RBM25	ATP5F1B	0.0
RBM39	ATP5F1B	0.0
RBMX	ATP5F1B	0.0
RCN1	ATP5F1B	0.0
RNPS1	ATP5F1B	0.0
RPAP3	ATP5F1B	0.0
RPL10	ATP5F1B	0.0
RPL11	ATP5F1B	0.0
RPL12	ATP5F1B	0.0
RPL13	ATP5F1B	0.0
RPL13A	ATP5F1B	0.0
RPL14	ATP5F1B	0.0
RPL15	ATP5F1B	0.0
RPL17	ATP5F1B	0.0
RPL18	ATP5F1B	0.0
RPL18A	ATP5F1B	0.0
RPL19	ATP5F1B	0.0
RPL22	ATP5F1B	0.0
RPL23	ATP5F1B	0.0
RPL23A	ATP5F1B	0.0
RPL24	ATP5F1B	0.0
RPL27	ATP5F1B	0.0
RPL27A	ATP5F1B	0.0
RPL28	ATP5F1B	0.0
RPL3	ATP5F1B	0.0
RPL30	ATP5F1B	0.0
RPL31	ATP5F1B	0.0
RPL35A	ATP5F1B	0.0
RPL36	ATP5F1B	0.0
RPL4	ATP5F1B	0.0
RPL6	ATP5F1B	0.0
RPL7	ATP5F1B	0.0
RPL7A	ATP5F1B	0.0
RPL8	ATP5F1B	0.0
RPL9	ATP5F1B	0.0
RPLP0	ATP5F1B	0.0
RPLP2	ATP5F1B	0.0
RPN1	ATP5F1B	0.0
RPN2	ATP5F1B	0.0
RPS10	ATP5F1B	0.0
RPS11	ATP5F1B	0.0
RPS13	ATP5F1B	0.0
RPS14	ATP5F1B	0.0
RPS15A	ATP5F1B	0.0
RPS16	ATP5F1B	0.0
RPS18	ATP5F1B	0.0
RPS2	ATP5F1B	0.0
RPS20	ATP5F1B	0.0
RPS23	ATP5F1B	0.0
RPS24	ATP5F1B	0.0
RPS25	ATP5F1B	0.0
RPS26	ATP5F1B	0.0
RPS27	ATP5F1B	0.0
RPS3	ATP5F1B	0.0
RPS3A	ATP5F1B	0.0
RPS4X	ATP5F1B	0.0
RPS5	ATP5F1B	0.0
RPS6	ATP5F1B	0.0
RPS7	ATP5F1B	0.0
RPS8	ATP5F1B	0.0
RPS9	ATP5F1B	0.0
RPSA	ATP5F1B	0.0
RRP12	ATP5F1B	0.0
RSL1D1	ATP5F1B	0.0
RUVBL1	ATP5F1B	0.0
RUVBL2	ATP5F1B	0.0
S100A7	ATP5F1B	0.0
SAFB	ATP5F1B	0.0
SAP18	ATP5F1B	0.0
SDHA	ATP5F1B	0.0
SDHB	ATP5F1B	0.0
SEC61A1	ATP5F1B	0.0
SET	ATP5F1B	0.0
SF3A1	ATP5F1B	0.0
SF3A3	ATP5F1B	0.0
SF3B1	ATP5F1B	0.0
SF3B2	ATP5F1B	0.0
SF3B3	ATP5F1B	0.0
SF3B6	ATP5F1B	0.0
SFPQ	ATP5F1B	0.0
SHMT2	ATP5F1B	0.0
SLC16A1	ATP5F1B	0.0
SLC1A5	ATP5F1B	0.0
SLC25A1	ATP5F1B	0.0
SLC25A3	ATP5F1B	0.0
SLC25A5	ATP5F1B	0.0
SLC25A6	ATP5F1B	0.0
SLC3A2	ATP5F1B	0.0
SLMAP	ATP5F1B	0.0
SMARCA4	ATP5F1B	0.0
SMARCC2	ATP5F1B	0.0
SMARCE1	ATP5F1B	0.0
SMC1A	ATP5F1B	0.0
SMC2	ATP5F1B	0.0
SMC3	ATP5F1B	0.0
SMC4	ATP5F1B	0.0
SMCHD1	ATP5F1B	0.0
SMN1	ATP5F1B	0.0
SNAP23	ATP5F1B	0.0
SNRNP200	ATP5F1B	0.0
SNRNP40	ATP5F1B	0.0
SNRNP70	ATP5F1B	0.0
SNRPA	ATP5F1B	0.0
SNRPA1	ATP5F1B	0.0
SNRPC	ATP5F1B	0.0
SNRPD1	ATP5F1B	0.0
SNRPD2	ATP5F1B	0.0
SNRPD3	ATP5F1B	0.0
SNRPE	ATP5F1B	0.0
SOD1	ATP5F1B	0.0
SPTAN1	ATP5F1B	0.0
SPTBN1	ATP5F1B	0.0
SRRT	ATP5F1B	0.0
SRSF1	ATP5F1B	0.0
SRSF10	ATP5F1B	0.0
SRSF3	ATP5F1B	0.0
SRSF4	ATP5F1B	0.0
SRSF6	ATP5F1B	0.0
SRSF7	ATP5F1B	0.0
SRSF9	ATP5F1B	0.0
SSB	ATP5F1B	0.0
SSBP1	ATP5F1B	0.0
STAT3	ATP5F1B	0.0
STIP1	ATP5F1B	0.0
STOML2	ATP5F1B	0.0
SYNCRIP	ATP5F1B	0.0
TCP1	ATP5F1B	0.0
TECR	ATP5F1B	0.0
TFRC	ATP5F1B	0.0
THOC1	ATP5F1B	0.0
THOC2	ATP5F1B	0.0
THOC6	ATP5F1B	0.0
TIMM50	ATP5F1B	0.0
TLN1	ATP5F1B	0.0
TMED10	ATP5F1B	0.0
TNPO1	ATP5F1B	0.0
TPI1	ATP5F1B	45.533044507269366
TPM3	ATP5F1B	47.34055997183309
TPM4	ATP5F1B	53.24294692727268
TPR	ATP5F1B	0.0
TRA2A	ATP5F1B	0.0
TRA2B	ATP5F1B	0.0
TRAP1	ATP5F1B	0.0
TRIM28	ATP5F1B	0.0
TUBA1B	ATP5F1B	0.0
TUBB	ATP5F1B	0.0
TUBB2B	ATP5F1B	0.0
TUBB4B	ATP5F1B	0.0
TUBB6	ATP5F1B	0.0
TUFM	ATP5F1B	0.0
U2AF2	ATP5F1B	0.0
UBA1	ATP5F1B	0.0
UBA2	ATP5F1B	0.0
UBR4	ATP5F1B	0.0
UGGT1	ATP5F1B	0.0
URI1	ATP5F1B	0.0
USO1	ATP5F1B	0.0
USP21	ATP5F1B	0.0
USP5	ATP5F1B	0.0
UXT	ATP5F1B	0.0
VARS	ATP5F1B	0.0
VCL	ATP5F1B	0.0
VDAC1	ATP5F1B	0.0
VDAC2	ATP5F1B	0.0
VIM	ATP5F1B	0.0
VPS26A	ATP5F1B	0.0
VPS35	ATP5F1B	0.0
WARS	ATP5F1B	0.0
WDR1	ATP5F1B	0.0
WDR77	ATP5F1B	0.0
WDR92	ATP5F1B	69.3169670445302
WRNIP1	ATP5F1B	0.0
XPNPEP1	ATP5F1B	0.0
XPO1	ATP5F1B	0.0
XRCC5	ATP5F1B	0.0
XRCC6	ATP5F1B	0.0
YBX1	ATP5F1B	0.0
ZNF326	ATP5F1B	0.0
ATP5F1C	ATP5F1C	0.0
ATP5MF	ATP5F1C	0.0
ATP5MG	ATP5F1C	0.0
ATP5PB	ATP5F1C	0.0
ATP5PD	ATP5F1C	0.0
ATP5PO	ATP5F1C	0.0
ATXN2L	ATP5F1C	0.0
BAG6	ATP5F1C	0.0
BASP1	ATP5F1C	0.0
BCAP31	ATP5F1C	0.0
BCKDHB	ATP5F1C	0.0
BCKDK	ATP5F1C	0.0
BLMH	ATP5F1C	0.0
BRIX1	ATP5F1C	0.0
BSG	ATP5F1C	0.0
CAD	ATP5F1C	0.0
CALU	ATP5F1C	0.0
CAND1	ATP5F1C	0.0
CANX	ATP5F1C	0.0
CAP1	ATP5F1C	0.0
CAPRIN1	ATP5F1C	0.0
CBR1	ATP5F1C	0.0
CCAR1	ATP5F1C	0.0
CCAR2	ATP5F1C	0.0
CCT2	ATP5F1C	0.0
CCT3	ATP5F1C	0.0
CCT4	ATP5F1C	0.0
CCT5	ATP5F1C	0.0
CCT6A	ATP5F1C	0.0
CCT7	ATP5F1C	0.0
CCT8	ATP5F1C	0.0
CDK1	ATP5F1C	0.0
CHD4	ATP5F1C	0.0
CHERP	ATP5F1C	0.0
CKAP4	ATP5F1C	0.0
CLIC4	ATP5F1C	0.0
CLTA	ATP5F1C	0.0
CLTB	ATP5F1C	0.0
CLTC	ATP5F1C	0.0
CNDP2	ATP5F1C	0.0
CNOT1	ATP5F1C	0.0
COG1	ATP5F1C	0.0
COPA	ATP5F1C	0.0
COPB1	ATP5F1C	0.0
COPB2	ATP5F1C	0.0
COPG1	ATP5F1C	0.0
COPS4	ATP5F1C	0.0
CORO1C	ATP5F1C	0.0
CPOX	ATP5F1C	0.0
CPSF6	ATP5F1C	0.0
CS	ATP5F1C	0.0
CSE1L	ATP5F1C	0.0
CYFIP1	ATP5F1C	0.0
DAP3	ATP5F1C	0.0
DARS	ATP5F1C	0.0
DBN1	ATP5F1C	0.0
DBT	ATP5F1C	0.0
DCD	ATP5F1C	0.0
DCTN1	ATP5F1C	0.0
DCTN2	ATP5F1C	0.0
DDB1	ATP5F1C	0.0
DDOST	ATP5F1C	0.0
DDX17	ATP5F1C	0.0
DDX18	ATP5F1C	0.0
DDX21	ATP5F1C	0.0
DDX39B	ATP5F1C	0.0
DDX3X	ATP5F1C	0.0
DDX46	ATP5F1C	0.0
DDX5	ATP5F1C	0.0
DDX6	ATP5F1C	0.0
DHX15	ATP5F1C	0.0
DHX9	ATP5F1C	0.0
DIAPH1	ATP5F1C	0.0
DLAT	ATP5F1C	0.0
DLD	ATP5F1C	0.0
DLST	ATP5F1C	0.0
DNAJB11	ATP5F1C	0.0
DPCD	ATP5F1C	0.0
DPM1	ATP5F1C	0.0
DPYSL2	ATP5F1C	0.0
DSG1	ATP5F1C	0.0
DYNC1H1	ATP5F1C	0.0
DYNC1I2	ATP5F1C	0.0
DYNC1LI1	ATP5F1C	0.0
DYNC1LI2	ATP5F1C	0.0
ECH1	ATP5F1C	0.0
ECHS1	ATP5F1C	0.0
ECI1	ATP5F1C	0.0
EEA1	ATP5F1C	0.0
EEF1B2	ATP5F1C	0.0
EEF1D	ATP5F1C	0.0
EEF1E1	ATP5F1C	0.0
EEF1G	ATP5F1C	0.0
EEF2	ATP5F1C	0.0
EFTUD2	ATP5F1C	0.0
EIF3A	ATP5F1C	0.0
EIF3B	ATP5F1C	0.0
EIF3C	ATP5F1C	0.0
EIF3D	ATP5F1C	0.0
EIF3E	ATP5F1C	0.0
EIF3F	ATP5F1C	0.0
EIF3G	ATP5F1C	0.0
EIF3H	ATP5F1C	0.0
EIF3I	ATP5F1C	0.0
EIF3L	ATP5F1C	0.0
EIF3M	ATP5F1C	0.0
EIF4A1	ATP5F1C	0.0
EIF4A3	ATP5F1C	0.0
EIF4G1	ATP5F1C	0.0
EIF5A	ATP5F1C	0.0
ELAVL1	ATP5F1C	0.0
ENO1	ATP5F1C	0.0
ENO2	ATP5F1C	0.0
EPPK1	ATP5F1C	0.0
EPRS	ATP5F1C	0.0
ERLIN2	ATP5F1C	0.0
ESYT1	ATP5F1C	0.0
FASN	ATP5F1C	0.0
FBL	ATP5F1C	0.0
FDPS	ATP5F1C	0.0
FH	ATP5F1C	0.0
FKBP10	ATP5F1C	0.0
FKBP4	ATP5F1C	0.0
FLG2	ATP5F1C	0.0
FLNA	ATP5F1C	0.0
FLNB	ATP5F1C	0.0
FTH1	ATP5F1C	0.0
FUBP1	ATP5F1C	0.0
GADD45GIP1	ATP5F1C	0.0
GANAB	ATP5F1C	0.0
GAPDH	ATP5F1C	0.0
GART	ATP5F1C	0.0
GCN1	ATP5F1C	0.0
GDI2	ATP5F1C	0.0
GEMIN4	ATP5F1C	0.0
GLA	ATP5F1C	0.0
GOLIM4	ATP5F1C	0.0
GPS1	ATP5F1C	0.0
GRPEL1	ATP5F1C	0.0
GSTO1	ATP5F1C	0.0
GYS1	ATP5F1C	0.0
H4C1	ATP5F1C	0.0
HACD3	ATP5F1C	0.0
HADHA	ATP5F1C	0.0
HADHB	ATP5F1C	0.0
HAGH	ATP5F1C	0.0
HAT1	ATP5F1C	0.0
HBB	ATP5F1C	0.0
HDAC2	ATP5F1C	0.0
HDAC6	ATP5F1C	0.0
HM13	ATP5F1C	0.0
HMGCS1	ATP5F1C	0.0
HNRNPA0	ATP5F1C	0.0
HNRNPA1	ATP5F1C	0.0
HNRNPA2B1	ATP5F1C	0.0
HNRNPA3	ATP5F1C	0.0
HNRNPAB	ATP5F1C	0.0
HNRNPC	ATP5F1C	0.0
HNRNPD	ATP5F1C	0.0
HNRNPDL	ATP5F1C	0.0
HNRNPF	ATP5F1C	0.0
HNRNPH1	ATP5F1C	0.0
HNRNPH3	ATP5F1C	0.0
HNRNPK	ATP5F1C	0.0
HNRNPL	ATP5F1C	0.0
HNRNPM	ATP5F1C	0.0
HNRNPR	ATP5F1C	0.0
HNRNPU	ATP5F1C	0.0
HNRNPUL2	ATP5F1C	0.0
HPRT1	ATP5F1C	0.0
HSD17B10	ATP5F1C	0.0
HSD17B12	ATP5F1C	0.0
HSP90AA1	ATP5F1C	0.0
HSP90AB1	ATP5F1C	0.0
HSP90B1	ATP5F1C	0.0
HSPA4L	ATP5F1C	0.0
HSPA5	ATP5F1C	0.0
HSPA6	ATP5F1C	0.0
HSPA8	ATP5F1C	0.0
HSPA9	ATP5F1C	0.0
HSPD1	ATP5F1C	0.0
HSPE1	ATP5F1C	0.0
HSPH1	ATP5F1C	0.0
HUWE1	ATP5F1C	0.0
HYOU1	ATP5F1C	0.0
IARS	ATP5F1C	0.0
IDE	ATP5F1C	0.0
IDH1	ATP5F1C	0.0
IGF2BP1	ATP5F1C	0.0
ILF2	ATP5F1C	0.0
ILF3	ATP5F1C	0.0
IMMT	ATP5F1C	0.0
IMPDH1	ATP5F1C	0.0
IMPDH2	ATP5F1C	0.0
IPO5	ATP5F1C	0.0
IQGAP1	ATP5F1C	0.0
IRS4	ATP5F1C	0.0
ISYNA1	ATP5F1C	0.0
ITGB1	ATP5F1C	0.0
ITPR3	ATP5F1C	0.0
KARS1	ATP5F1C	0.0
KCTD12	ATP5F1C	0.0
KHSRP	ATP5F1C	0.0
KIF5B	ATP5F1C	0.0
KPNB1	ATP5F1C	0.0
KPRP	ATP5F1C	0.0
KRT10	ATP5F1C	0.0
KRT13	ATP5F1C	0.0
KRT14	ATP5F1C	0.0
KRT16	ATP5F1C	0.0
KRT17	ATP5F1C	0.0
KRT2	ATP5F1C	0.0
KRT34	ATP5F1C	0.0
KRT6B	ATP5F1C	0.0
KRT8	ATP5F1C	0.0
KTN1	ATP5F1C	0.0
LAMP2	ATP5F1C	0.0
LANCL1	ATP5F1C	0.0
LARS	ATP5F1C	0.0
LBR	ATP5F1C	0.0
LDHA	ATP5F1C	0.0
LDHB	ATP5F1C	0.0
LGALS3BP	ATP5F1C	0.0
LGALS7	ATP5F1C	0.0
LMAN1	ATP5F1C	0.0
LONP1	ATP5F1C	0.0
LRPPRC	ATP5F1C	0.0
LRRC59	ATP5F1C	0.0
LSM12	ATP5F1C	0.0
LTA4H	ATP5F1C	0.0
LUC7L2	ATP5F1C	0.0
MACF1	ATP5F1C	0.0
MAP1B	ATP5F1C	0.0
MARCKS	ATP5F1C	0.0
MARCKSL1	ATP5F1C	0.0
MARS	ATP5F1C	0.0
MAT2A	ATP5F1C	0.0
MAT2B	ATP5F1C	0.0
MATR3	ATP5F1C	0.0
MCM4	ATP5F1C	0.0
MCM5	ATP5F1C	0.0
MCM6	ATP5F1C	0.0
MCM7	ATP5F1C	0.0
MDH1	ATP5F1C	0.0
MDH2	ATP5F1C	0.0
ME2	ATP5F1C	0.0
MLEC	ATP5F1C	0.0
MRE11	ATP5F1C	0.0
MRPL1	ATP5F1C	0.0
MRPL11	ATP5F1C	0.0
MRPL12	ATP5F1C	0.0
MRPL13	ATP5F1C	0.0
MRPL15	ATP5F1C	0.0
MRPL17	ATP5F1C	0.0
MRPL18	ATP5F1C	0.0
MRPL19	ATP5F1C	0.0
MRPL2	ATP5F1C	0.0
MRPL20	ATP5F1C	0.0
MRPL21	ATP5F1C	0.0
MRPL22	ATP5F1C	0.0
MRPL23	ATP5F1C	0.0
MRPL24	ATP5F1C	0.0
MRPL28	ATP5F1C	0.0
MRPL3	ATP5F1C	0.0
MRPL34	ATP5F1C	0.0
MRPL37	ATP5F1C	0.0
MRPL38	ATP5F1C	0.0
MRPL39	ATP5F1C	0.0
MRPL4	ATP5F1C	0.0
MRPL40	ATP5F1C	0.0
MRPL41	ATP5F1C	0.0
MRPL43	ATP5F1C	0.0
MRPL44	ATP5F1C	0.0
MRPL45	ATP5F1C	0.0
MRPL46	ATP5F1C	0.0
MRPL47	ATP5F1C	0.0
MRPL48	ATP5F1C	0.0
MRPL49	ATP5F1C	0.0
MRPL50	ATP5F1C	0.0
MRPL55	ATP5F1C	0.0
MRPL58	ATP5F1C	0.0
MRPL9	ATP5F1C	0.0
MRPS10	ATP5F1C	0.0
MRPS14	ATP5F1C	0.0
MRPS16	ATP5F1C	0.0
MRPS17	ATP5F1C	0.0
MRPS2	ATP5F1C	0.0
MRPS22	ATP5F1C	0.0
MRPS23	ATP5F1C	0.0
MRPS27	ATP5F1C	0.0
MRPS30	ATP5F1C	0.0
MRPS31	ATP5F1C	0.0
MRPS34	ATP5F1C	0.0
MRPS35	ATP5F1C	0.0
MRPS7	ATP5F1C	0.0
MTA2	ATP5F1C	0.0
MTHFD1	ATP5F1C	0.0
MYBBP1A	ATP5F1C	0.0
MYH10	ATP5F1C	0.0
MYH9	ATP5F1C	0.0
MYL6	ATP5F1C	0.0
NANS	ATP5F1C	0.0
NAP1L1	ATP5F1C	0.0
NASP	ATP5F1C	0.0
NCKAP1	ATP5F1C	0.0
NCL	ATP5F1C	0.0
NME1	ATP5F1C	0.0
NPEPPS	ATP5F1C	0.0
NPM1	ATP5F1C	0.0
NSF	ATP5F1C	0.0
NSUN2	ATP5F1C	0.0
NUDT21	ATP5F1C	0.0
NUFIP2	ATP5F1C	0.0
NUMA1	ATP5F1C	0.0
NUP107	ATP5F1C	0.0
NUP133	ATP5F1C	0.0
NUP155	ATP5F1C	0.0
NUP210	ATP5F1C	0.0
NUP85	ATP5F1C	0.0
NUP93	ATP5F1C	0.0
NUP98	ATP5F1C	0.0
OAT	ATP5F1C	0.0
OGDH	ATP5F1C	0.0
P4HA1	ATP5F1C	0.0
P4HB	ATP5F1C	0.0
PABPC1	ATP5F1C	0.0
PABPC4	ATP5F1C	0.0
PABPN1	ATP5F1C	0.0
PAICS	ATP5F1C	0.0
PARP1	ATP5F1C	0.0
PC	ATP5F1C	0.0
PCBD1	ATP5F1C	0.0
PCBP1	ATP5F1C	0.0
PCMT1	ATP5F1C	0.0
PDHA1	ATP5F1C	0.0
PDHB	ATP5F1C	0.0
PDHX	ATP5F1C	0.0
PDIA3	ATP5F1C	0.0
PDIA6	ATP5F1C	0.0
PDRG1	ATP5F1C	0.0
PDXK	ATP5F1C	0.0
PFDN2	ATP5F1C	0.0
PFDN4	ATP5F1C	0.0
PFDN5	ATP5F1C	0.0
PFDN6	ATP5F1C	0.0
PFKP	ATP5F1C	0.0
PGAM5	ATP5F1C	0.0
PGD	ATP5F1C	0.0
PGK1	ATP5F1C	0.0
PHB	ATP5F1C	0.0
PHB2	ATP5F1C	0.0
PHGDH	ATP5F1C	0.0
PIH1D1	ATP5F1C	0.0
PIP	ATP5F1C	0.0
PKM	ATP5F1C	0.0
PKP1	ATP5F1C	0.0
PLS3	ATP5F1C	0.0
PMPCB	ATP5F1C	0.0
PNN	ATP5F1C	0.0
PNP	ATP5F1C	0.0
PODXL	ATP5F1C	0.0
POF1B	ATP5F1C	0.0
POLR1A	ATP5F1C	0.0
POLR1C	ATP5F1C	0.0
POLR2A	ATP5F1C	0.0
POLR2B	ATP5F1C	0.0
POLR2C	ATP5F1C	0.0
POLR2E	ATP5F1C	0.0
POLR2H	ATP5F1C	0.0
POLR3A	ATP5F1C	0.0
POLR3B	ATP5F1C	0.0
POLR3D	ATP5F1C	0.0
PPAT	ATP5F1C	0.0
PPIA	ATP5F1C	0.0
PPIB	ATP5F1C	0.0
PPP1CA	ATP5F1C	0.0
PPP1CC	ATP5F1C	0.0
PPP1R2	ATP5F1C	0.0
PPP1R7	ATP5F1C	0.0
PPP2R1A	ATP5F1C	0.0
PPP2R2A	ATP5F1C	0.0
PRDX1	ATP5F1C	0.0
PRDX2	ATP5F1C	0.0
PRDX3	ATP5F1C	0.0
PRDX4	ATP5F1C	0.0
PRDX6	ATP5F1C	0.0
PRKCSH	ATP5F1C	0.0
PRKDC	ATP5F1C	0.0
PRMT1	ATP5F1C	0.0
PRMT5	ATP5F1C	0.0
PRPF19	ATP5F1C	0.0
PRPF40A	ATP5F1C	0.0
PRPF8	ATP5F1C	0.0
PRSS3P2	ATP5F1C	0.0
PSAT1	ATP5F1C	0.0
PSMA6	ATP5F1C	0.0
PSMA7	ATP5F1C	0.0
PSMB1	ATP5F1C	0.0
PSMB2	ATP5F1C	0.0
PSMB3	ATP5F1C	0.0
PSMB4	ATP5F1C	0.0
PSMB5	ATP5F1C	0.0
PSMB7	ATP5F1C	0.0
PSMC1	ATP5F1C	0.0
PSMC2	ATP5F1C	0.0
PSMC3	ATP5F1C	0.0
PSMC4	ATP5F1C	0.0
PSMC5	ATP5F1C	0.0
PSMC6	ATP5F1C	0.0
PSMD1	ATP5F1C	0.0
PSMD12	ATP5F1C	0.0
PSMD13	ATP5F1C	0.0
PSMD14	ATP5F1C	0.0
PSMD2	ATP5F1C	0.0
PSMD3	ATP5F1C	0.0
PSMD4	ATP5F1C	0.0
PSMD6	ATP5F1C	0.0
PSMD7	ATP5F1C	0.0
PSMD8	ATP5F1C	0.0
PSME1	ATP5F1C	0.0
PTBP1	ATP5F1C	0.0
PTCD3	ATP5F1C	0.0
PUF60	ATP5F1C	0.0
QARS	ATP5F1C	0.0
RACK1	ATP5F1C	0.0
RAD50	ATP5F1C	0.0
RALY	ATP5F1C	0.0
